experiment,num_agents,forbidden_actions,norm_mode,social_exposure,task_variant,visibility_mode,norm_prompt_variant,num_episodes,mean_entropy,std_entropy,min_entropy,max_entropy,mean_forbidden_rate,mean_transition_entropy,mean_action_persistence,mean_policy_divergence,episode_diversity,parser_failures
baseline,1,none,none,False,social_game,full,soft_default,100,1.4209175798849856,0.1482559070184099,0.9967916319816366,1.9344518194827178,0.0,2.3378121891523715,0.2013793103448276,0.0,0.0179220712151357,0
commons_homo_ds,3,none,soft,False,commons,full,soft_default,100,0.18890356132227668,0.52536816228066,-0.0,2.2383868473314767,0.0,0.2885611345658524,0.9347126436781609,0.00870135345379442,0.1168327424206412,0
commons_homo_phi,3,none,soft,False,commons,full,soft_default,100,0.2900640148005436,0.5729872354254186,-0.0,1.8094068219989479,0.0,0.5013633292964531,0.8812643678160919,0.014613095751914747,0.09086747171270523,0
commons_homo_qwen,3,none,soft,False,commons,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
commons_solo_ds,1,none,soft,False,commons,full,soft_default,100,0.5566166585772682,0.4271381481708203,-0.0,1.4464393446710155,0.0,0.8813420050035888,0.9,0.0,0.047248555955437074,0
commons_solo_ds_exposed,1,none,soft,True,commons,full,soft_default,100,0.008433692012741285,0.04131648415800439,-0.0,0.21084230031853213,0.0,0.008655877298050585,0.9986206896551724,0.0,0.0011780911257873877,0
commons_solo_phi,1,none,soft,False,commons,full,soft_default,100,0.44694839631648553,0.23685297287373092,-0.0,1.0136635125593596,0.0,0.8524874142317711,0.8472413793103448,0.0,0.01719267319853976,0
commons_solo_phi_exposed,1,none,soft,True,commons,full,soft_default,100,0.2529666990277761,0.15368947552938517,-0.0,0.5665095065529053,0.0,0.5012636853738838,0.9044827586206897,0.0,0.006558463232150718,0
commons_solo_qwen,1,none,soft,False,commons,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
commons_solo_qwen_exposed,1,none,soft,True,commons,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
ds_tx_all_defect,1,none,soft,True,social_game,full,soft_default,100,0.8159073223232397,0.2993608231812354,0.21084230031853213,1.5628818212796873,0.0,1.3719353261842695,0.7393103448275862,0.0,0.03883515343367441,0
ds_tx_diverse,1,none,soft,True,social_game,full,soft_default,100,1.0819425192070404,0.28342559166818687,0.35335933502142136,1.5974168451037092,0.0,1.8320275931268513,0.7155172413793103,0.0,0.028321920486460574,0
ds_tx_mixed,1,none,soft,True,social_game,full,soft_default,100,0.9621920841505245,0.30884943171701473,0.35335933502142136,1.7283333718146277,0.0,1.6148962953567585,0.7751724137931035,0.0,0.03756919356634722,0
homo_ds,3,none,none,False,social_game,full,soft_default,100,1.1163442244653745,0.3814873295049133,-0.0,2.1492553971685,0.0,2.0343380759993694,0.6137931034482759,0.025229373571857616,0.058108405455732585,0
homo_gemma3_4b,3,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
homo_gemma4_e4b,3,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
homo_llama3_ollama,3,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
homo_mistral,3,none,soft,False,social_game,full,soft_default,100,0.18985521197848074,0.3080629902227487,-0.0,1.1105522511832788,0.0,0.29760241478896227,0.9610344827586207,0.0037035372667255043,0.08420735771557747,0
homo_phi,3,none,none,False,social_game,full,soft_default,100,1.3939527832476095,0.22077567516783878,0.9182958340544896,1.9493978533396061,0.0,2.3406679275880213,0.21701149425287355,0.06443822925130877,0.011433622403420596,0
homo_phi3,3,none,soft,False,social_game,full,soft_default,100,0.05764310958659285,0.20327859510119672,-0.0,1.258040253688799,0.0,0.08667438022202979,0.9905747126436781,0.025323929268939428,0.0736386000558516,1
homo_phi4_ollama,3,none,soft,False,social_game,full,soft_default,100,0.10585630110309734,0.33136044382820856,-0.0,1.7708944360461423,0.0,0.1872226214125273,0.9485057471264369,0.01446154172557821,0.023459071284505938,0
homo_qwen,3,none,none,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
homo_qwen35_9b,3,none,soft,False,social_game,full,soft_default,100,0.0028112306709137617,0.024183120631886646,-0.0,0.21084230031853213,0.0,0.00574689025300503,0.999080459770115,0.0004498785842695593,0.0003909483521726962,4
homo_qwen3_ollama,3,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
multi_free,3,none,none,False,social_game,full,soft_default,100,0.9746052161059467,0.628750436605815,-0.0,2.096276918558496,0.0,1.7271365023213414,0.5833333333333334,0.2007455421763863,0.022172977445365095,0
multi_free_agg,3,none,soft,False,social_game,aggregate,soft_default,100,0.4948715163842411,0.7169821083932227,-0.0,1.8987345348334579,0.0,0.8120786691308436,0.889655172413793,0.3180010529859773,0.01128724220189278,0
multi_free_blind,3,none,soft,False,social_game,blind,soft_default,100,0.4969253163766291,0.7170383699921723,-0.0,1.944623214254579,0.0,0.7729149076826727,0.9171264367816091,0.321563976290487,0.018966196807050948,1
multi_free_matched,3,none,soft,False,social_game,full,soft_default,100,0.008366407419411671,0.0832447027603023,-0.0,0.8366407419411672,0.0,0.015147239826031002,0.9948275862068965,0.02,0.009726343372067308,0
multi_free_phi3_qwen3_ds_ollama,3,none,soft,False,social_game,full,soft_default,100,0.057997402980922895,0.21846905024556984,-0.0,1.5009550787843395,0.0,0.0966237253046029,0.9732183908045977,0.054650660870988216,0.03684951756174476,0
multi_free_phi4_llama3_ds_ollama,3,none,soft,False,social_game,full,soft_default,100,0.008366407419411671,0.0832447027603023,-0.0,0.8366407419411672,0.0,0.015147239826031002,0.9948275862068965,0.02,0.009726343372067308,0
multi_free_phi4_qwen35_ds_ollama,3,none,soft,False,social_game,full,soft_default,100,0.008366407419411671,0.0832447027603023,-0.0,0.8366407419411672,0.0,0.015147239826031002,0.9948275862068965,0.02,0.009726343372067308,0
multi_free_rotated,3,none,soft,False,social_game,full,soft_default,100,0.02777591334026082,0.1451072970943852,-0.0,0.9871377743721863,0.0,0.04780337873410554,0.980919540229885,0.010867970376604065,0.007202100353244668,0
multi_norm,3,defect,soft,False,social_game,full,soft_default,100,1.0058052381291462,0.6231645108531274,-0.0,2.206238928653389,0.12222222222222222,1.7201907614015146,0.5091954022988506,0.2722854717005458,0.0655288217385628,0
multi_norm_abstain,3,abstain,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.3333333333333333,0.0,1.0,0.6666666666666665,1.6017132519074586e-16,0
multi_norm_abstain_mask,3,abstain,hard_mask,False,social_game,full,soft_default,100,0.25084744721895647,0.5143180301023105,-0.0,1.746465798504072,0.17644444444444443,0.42221828805134126,0.9380459770114942,0.43804207419123736,0.08001617810150467,1
multi_norm_agg,3,defect,soft,False,social_game,aggregate,soft_default,100,0.49229358516969635,0.7051334278310889,-0.0,1.781937063546704,0.007,0.8463210240385949,0.8766666666666667,0.3281956649825346,0.00949464325623905,0
multi_norm_blind,3,defect,soft,False,social_game,blind,soft_default,100,0.5297011210982994,0.7636022156599892,-0.0,1.9724897668749513,0.02033333333333333,0.8894360152756025,0.8654022988505748,0.30852676735393786,0.010977549084824236,0
multi_norm_bundle_alt,3,abstain,multi_rule,False,social_game,full,soft_default,100,0.03974890920594136,0.10327234958310033,-0.0,0.4689955935892812,0.33,0.07703697518877049,0.9874712643678161,0.6638089532979562,0.004657530877796123,0
multi_norm_defend,3,defend,soft,False,social_game,full,soft_default,100,0.2596523197515932,0.41257517369841107,-0.0,1.7147366491799203,0.0003333333333333334,0.45972943136031785,0.9297701149425287,0.07056138154190701,0.00930250537693564,0
multi_norm_defend_mask,3,defend,hard_mask,False,social_game,full,soft_default,100,0.375649424709183,0.5464671914174898,-0.0,1.711080496244278,0.0,0.6181744911675968,0.9010344827586207,0.09492040164083608,0.009552936826666265,0
multi_norm_mask,3,defect,hard_mask,False,social_game,full,soft_default,100,0.5619564440989226,0.789532042589298,-0.0,1.9967916319816368,0.0,0.9662852915212041,0.8426436781609196,0.24754010884884262,0.011355498215693332,0
multi_norm_matched,3,defect,soft,False,social_game,full,soft_default,100,0.016686470818750437,0.11847229184159697,-0.0,0.9480782435939055,0.0,0.02115973870026809,0.9988505747126436,0.03969830682720888,0.02449396999144912,0
multi_norm_multi,3,defect,multi_rule,False,social_game,full,soft_default,100,0.3093551800251015,0.47116357046529617,-0.0,1.4983958159908184,0.0,0.5537897519458068,0.914367816091954,0.08903834161190587,0.007146991649939276,1
multi_norm_phi3_qwen3_ds_ollama,3,defect,soft,False,social_game,full,soft_default,100,0.05247012652374342,0.2491571700479167,-0.0,2.0483172359339377,0.003888888888888889,0.0838484452914073,0.983103448275862,0.06052668742680722,0.03862017954167243,0
multi_norm_phi4_llama3_ds_ollama,3,defect,soft,False,social_game,full,soft_default,100,0.007527587562486812,0.0765603042604893,-0.0,0.9182958340544896,0.0,0.008716554512960306,0.9995402298850575,0.03968024485249804,0.018395953147980725,0
multi_norm_phi4_qwen35_ds_ollama,3,defect,soft,False,social_game,full,soft_default,100,0.007527587562486812,0.0765603042604893,-0.0,0.9182958340544896,0.0,0.008716554512960306,0.9995402298850575,0.03968024485249804,0.018395953147980725,0
multi_norm_rotated,3,defect,soft,False,social_game,full,soft_default,100,0.030319219182307885,0.15092631020629502,-0.0,0.9182958340544896,0.0,0.05600334843446407,0.9811494252873564,0.010368904175967647,0.006903485274220523,0
multi_norm_strong,3,defect,strong,False,social_game,full,soft_default,100,0.6160158759342033,0.8869606734677966,-0.0,2.167530280029051,0.040888888888888884,1.031175756112157,0.7978160919540229,0.4002368266998982,0.011055512883251215,1
multi_norm_temp07,3,defect,soft,False,social_game,full,soft_default,100,0.014937935286080364,0.10645574464640019,-0.0,1.0,0.0,0.01794112567443752,0.9993103448275863,0.6769996772095602,0.012642235857948656,0
phi_tx_all_defect,1,none,soft,True,social_game,full,soft_default,100,1.5518833895026574,0.15892464871853834,1.1092271387984602,1.821420801020302,0.0,2.669825168985897,0.18448275862068964,0.0,0.015499187810377553,0
phi_tx_diverse,1,none,soft,True,social_game,full,soft_default,100,0.7319654352797675,0.229746574088777,-0.0,1.1786137171821593,0.0,1.376753474339935,0.7296551724137932,0.0,0.02072741440078748,0
phi_tx_mixed,1,none,soft,True,social_game,full,soft_default,100,0.006325269009555964,0.03596700210005073,-0.0,0.21084230031853213,0.0,0.012930503069261318,0.9979310344827585,0.0,0.0009080847903819269,0
single_norm,1,defect,soft,False,social_game,full,soft_default,100,0.046226694559365594,0.1894212511471012,-0.0,1.1092271387984602,0.9393333333333334,0.05329327193956078,0.9968965517241379,0.0,0.07773831064046209,1
single_norm_forbidden_abstain,1,abstain,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
single_norm_forbidden_defend,1,defend,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
single_norm_forbidden_deontic,1,defect,soft,False,social_game,full,forbidden_deontic,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
single_norm_forbidden_hard,1,defect,soft,False,social_game,full,forbidden_hard,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
single_norm_forbidden_penalty_text,1,defect,soft,False,social_game,full,forbidden_penalty_text,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
single_norm_matched,1,defect,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
single_norm_positive_reframe,1,defect,soft,False,social_game,full,positive_reframe,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
single_norm_temp07,1,defect,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_ds,1,none,soft,False,social_game,full,soft_default,100,0.8628730055644951,0.374195142791805,-0.0,1.675075483501529,0.0,1.2745817984346877,0.8906896551724138,0.0,0.098389847850599,0
solo_ds_exposed,1,none,soft,True,social_game,full,soft_default,100,0.2877358434781094,0.3940782268899503,-0.0,1.7033667177473786,0.0,0.422386262527188,0.9586206896551723,0.0,0.05589851222029931,0
solo_gemma3_4b,1,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_gemma3_4b_exposed,1,none,soft,True,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_gemma4_e4b,1,none,soft,False,social_game,full,soft_default,100,0.011700333844140454,0.11641685184873157,-0.0,1.1700333844140454,0.0,0.013537427557213082,0.9993103448275862,0.0,0.0049932709128820115,1
solo_gemma4_e4b_exposed,1,none,soft,True,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_llama3_ollama,1,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_llama3_ollama_exposed,1,none,soft,True,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_mistral,1,none,soft,False,social_game,full,soft_default,100,0.0674950291576668,0.113768501172869,-0.0,0.420026001688088,0.0,0.11281150155622294,0.9820689655172414,0.0,0.007157289008894472,0
solo_mistral_exposed,1,none,soft,True,social_game,full,soft_default,100,0.16636181018170418,0.1417037327309474,-0.0,0.5665095065529053,0.0,0.17686679027387225,0.9748275862068965,0.0,0.008181345259992185,0
solo_phi3,1,none,soft,False,social_game,full,soft_default,100,0.09603272664608832,0.32627386931328,-0.0,1.5240979830688353,0.0,0.1385316578395905,0.9586206896551723,0.0,0.0923926885782761,0
solo_phi3_exposed,1,none,soft,True,social_game,full,soft_default,100,0.045899246150307,0.18175527310031775,-0.0,0.9709505944546686,0.0,0.06582310054224805,0.9937931034482759,0.0,0.04270369765211931,0
solo_phi4_ollama,1,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_phi4_ollama_exposed,1,none,soft,True,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_phi_exposed,1,none,soft,True,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_qwen,1,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_qwen35_9b,1,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_qwen35_9b_exposed,1,none,soft,True,social_game,full,soft_default,100,0.006325269009555964,0.03596700210005073,-0.0,0.21084230031853213,0.0,0.010784304704020191,0.9982758620689656,0.0,0.0009080847903819269,3
solo_qwen3_ollama,1,none,soft,False,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_qwen3_ollama_exposed,1,none,soft,True,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
solo_qwen_exposed,1,none,soft,True,social_game,full,soft_default,100,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0
temp_high,3,none,none,False,social_game,full,soft_default,100,0.06352092772102148,0.2568795630390747,-0.0,1.781650569267271,0.0,0.09801125816904417,0.9859770114942529,0.677731763475667,0.05124817084874936,8
temp_low,3,none,none,False,social_game,full,soft_default,100,0.005394710456442047,0.03572388570670834,-0.0,0.35335933502142136,0.0,0.00767483137378733,0.9987356321839082,0.6583906749607276,0.0321539490335796,1
temp_mid,3,none,none,False,social_game,full,soft_default,100,0.02475862381866962,0.14119339713939466,-0.0,1.0322683996633863,0.0,0.03314207568599674,0.9963218390804597,0.6642432301826443,0.03826684587516933,5
